GS_A_ID	GS_B_ID	ALL	GS_A_SIZE	GS_B_SIZE	OLAP	SIMILARITY	NLOGPMF	CDF	NLOGCDF
GEX039983	GEX090015	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX066646	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX056386	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX103713	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX054287	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX096578	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX110926	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX039983	GEX071776	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX087011	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX056517	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX052006	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX044888	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX066004	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX049915	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX114416	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX065394	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX080414	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX119631	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX039983	GEX096449	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX099362	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX039983	GEX083388	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX047513	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX092300	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX099517	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX068283	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX046260	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX122138	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX059028	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX062282	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX101489	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX067114	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX107724	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX058352	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX110415	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX121734	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX093626	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX113038	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX117058	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX055308	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX078223	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX104469	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX086477	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX039983	GEX104027	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX065859	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX108874	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX090246	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX083907	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX118398	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX039983	GEX106689	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX039983	GEX122211	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX039983	GEX118554	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX039983	GEX123309	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX092596	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX093996	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX039983	GEX099228	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX066776	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX071513	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX039983	GEX056705	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX039983	GEX112560	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX039983	GEX078023	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX047101	GEX092822	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX049574	GEX119068	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX049574	GEX114743	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
GEX049574	GEX050766	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX121181	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX070403	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX056014	GEX056536	62088	5	9	5	0.6444444444444444	45.55760534736328	1.0	0.0007248536215633
GEX056014	GEX088794	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX071222	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX079080	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX090015	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX066646	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX056386	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX103713	62088	5	7	5	0.7714285714285715	47.34936481656041	1.0	0.0005637659574021
GEX056014	GEX096578	62088	5	8	5	0.7	46.36853556346614	1.0	0.0006443091408468
GEX056014	GEX110926	62088	5	5	5	1.0	50.39388725429308	1.0	0.0004026834831085
GEX056014	GEX071776	62088	5	6	5	0.8666666666666667	48.60212778497953	1.0	0.0004832240716667
GEX056014	GEX087011	62088	5	10	5	0.6	44.86445816676133	1.0	0.0008053993996995
