GS_ID_A,GS_ID_B,overlap,szymkiewicz_simpson,jaccard,npmi,size_a,size_b,union,composite
GEX017626,GEX083976,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX017626,GEX092300,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX017626,GEX017890,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX017626,GEX080930,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX017626,GEX122808,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX017626,GEX119455,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX017626,GEX099517,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX017626,GEX122998,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX017626,GEX083684,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX017626,GEX068283,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX046260,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX122138,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX017626,GEX087600,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX017626,GEX038670,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX017626,GEX120762,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX017626,GEX063121,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX017626,GEX059028,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX017626,GEX104513,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX017626,GEX108369,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX017626,GEX062282,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX101489,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX039983,5,1.0,1.0,1.0,5,5,5,1.0
GEX017626,GEX067114,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX107724,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX017626,GEX115131,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX017626,GEX031407,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX105577,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX017626,GEX058352,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX110415,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX121734,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX093626,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX017626,GEX052149,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX017626,GEX078084,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX017626,GEX036444,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX017626,GEX113038,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX021921,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX017626,GEX061565,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX017626,GEX027403,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX017626,GEX117058,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX017626,GEX109864,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX017626,GEX043330,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX017626,GEX104239,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX017626,GEX055308,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX106448,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX017626,GEX078223,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX017626,GEX104469,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX017626,GEX086477,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX017626,GEX066701,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX017626,GEX091468,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX017626,GEX098360,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX017626,GEX098502,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX017626,GEX045997,5,1.0,0.3846154,0.89863956,5,13,13,0.8769231
GEX017626,GEX043449,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX017626,GEX104027,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX073850,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX017626,GEX091747,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX017626,GEX104262,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX017626,GEX065859,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX108874,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX090246,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX017626,GEX019439,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX017626,GEX083907,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX017626,GEX101743,5,1.0,0.41666666,0.9071305,5,12,12,0.8833333
GEX017626,GEX037511,5,1.0,0.29411766,0.8701822,5,17,17,0.85882354
GEX017626,GEX106641,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX017626,GEX118398,5,1.0,1.0,1.0,5,5,5,1.0
GEX017626,GEX106689,5,1.0,1.0,1.0,5,5,5,1.0
GEX017626,GEX045443,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX017626,GEX017928,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX017626,GEX122211,5,1.0,1.0,1.0,5,5,5,1.0
GEX017626,GEX118554,5,1.0,1.0,1.0,5,5,5,1.0
GEX017626,GEX123309,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX023974,5,1.0,0.25,0.8529422,5,20,20,0.85
GEX017626,GEX032838,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX017626,GEX021203,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX017626,GEX092596,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX093996,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX017626,GEX099228,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX066776,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX017626,GEX071513,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX017626,GEX122815,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX017626,GEX087591,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX017626,GEX122121,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX017626,GEX056705,5,1.0,0.8333333,0.98065937,5,6,6,0.9666667
GEX017626,GEX112560,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX017626,GEX077466,5,1.0,0.45454547,0.9163606,5,11,11,0.8909091
GEX017626,GEX026108,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX017626,GEX037389,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX017626,GEX084079,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX017626,GEX078023,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX024512,GEX025844,5,1.0,0.2631579,0.8583834,5,19,19,0.85263157
GEX029301,GEX073709,5,1.0,0.29411766,0.8701822,5,17,17,0.85882354
GEX029301,GEX054213,5,1.0,0.33333334,0.8834595,5,15,15,0.8666667
GEX037531,GEX066621,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX037531,GEX042030,5,1.0,0.2777778,0.8641189,5,18,18,0.8555556
GEX037531,GEX108688,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX037531,GEX099225,5,1.0,0.3125,0.87661326,5,16,16,0.8625
GEX039983,GEX045679,5,1.0,0.5,0.9264711,5,10,10,0.90000004
GEX039983,GEX121181,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX056014,5,1.0,1.0,1.0,5,5,5,1.0
GEX039983,GEX070403,5,1.0,1.0,1.0,5,5,5,1.0
GEX039983,GEX056536,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX039983,GEX088794,5,1.0,0.625,0.95014215,5,8,8,0.925
GEX039983,GEX074501,5,1.0,0.35714287,0.89077824,5,14,14,0.8714286
GEX039983,GEX071222,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX091640,5,1.0,0.5555556,0.93764776,5,9,9,0.9111111
GEX039983,GEX079080,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
GEX039983,GEX090015,5,1.0,0.71428573,0.9643071,5,7,7,0.94285715
