gs_id,gnn_cluster,structlite_cluster
GEX014677,1,2
GEX014770,7,4
GEX014771,7,9
GEX014778,0,7
GEX014779,1,2
GEX014817,1,0
GEX014824,3,7
GEX014825,7,5
GEX014854,5,3
GEX014902,1,9
GEX014903,1,9
GEX014931,6,0
GEX015007,1,9
GEX015087,9,7
GEX015110,1,0
GEX015121,3,7
GEX015124,9,7
GEX015125,6,0
GEX015145,5,3
GEX015176,8,1
GEX015245,9,7
GEX015259,2,8
GEX015261,5,3
GEX015280,0,7
GEX015312,0,3
GEX015351,0,7
GEX015352,1,0
GEX015378,9,7
GEX015394,3,7
GEX015395,7,5
GEX015409,0,7
GEX015418,0,0
GEX015482,2,6
GEX015485,4,2
GEX015486,9,3
GEX015507,8,1
GEX015542,9,3
GEX015543,1,0
GEX015588,7,5
GEX015592,8,1
GEX015713,3,4
GEX015714,2,6
GEX015725,8,8
GEX015726,3,3
GEX015727,5,3
GEX015849,5,0
GEX015859,2,4
GEX015860,2,4
GEX015925,5,7
GEX015948,3,2
GEX015949,9,2
GEX015960,6,9
GEX015961,7,9
GEX016016,0,7
GEX016128,3,3
GEX016147,5,3
GEX016158,9,7
GEX016237,9,2
GEX016253,7,4
GEX016396,6,3
GEX016416,0,7
GEX016423,9,7
GEX016435,2,6
GEX016476,7,9
GEX016477,1,4
GEX016497,7,9
GEX016562,0,3
GEX016582,1,2
GEX016698,2,4
GEX016715,9,2
GEX016716,1,7
GEX016792,0,3
GEX016841,1,2
GEX016856,0,7
GEX016990,9,4
GEX016991,7,4
GEX016995,7,0
GEX017048,0,7
GEX017209,1,0
GEX017230,7,2
GEX017279,1,4
GEX017280,7,9
GEX017335,0,4
GEX017368,6,2
GEX017383,6,7
GEX017395,4,3
GEX017452,9,2
GEX017475,1,2
GEX017476,0,7
GEX017500,9,3
GEX017501,9,3
GEX017509,2,4
GEX017587,0,7
GEX017626,2,8
GEX017629,2,4
GEX017630,6,4
GEX017663,3,3
GEX017664,5,3
GEX017666,6,3
GEX017718,4,3
GEX017719,6,9
GEX017720,4,3
GEX017807,4,0
GEX017808,9,2
GEX017833,5,3
GEX017834,5,9
GEX017839,9,3
GEX017840,9,3
GEX017890,2,6
GEX017907,7,5
GEX017908,2,9
GEX017928,2,6
GEX017938,3,3
