group_id,gs_id,degree_centrality,betweenness_centrality,closeness_centrality
A0,GEX039004,1.0,1.59676347865762e-06,1.0
A0,GEX039325,1.0,1.59676347865762e-06,1.0
A0,GEX039401,1.0,1.59676347865762e-06,1.0
A0,GEX039442,1.0,1.59676347865762e-06,1.0
A0,GEX039519,1.0,1.59676347865762e-06,1.0
A0,GEX039525,1.0,1.59676347865762e-06,1.0
A0,GEX039935,1.0,1.59676347865762e-06,1.0
A0,GEX040243,1.0,1.59676347865762e-06,1.0
A0,GEX040419,1.0,1.59676347865762e-06,1.0
A0,GEX040614,1.0,1.59676347865762e-06,1.0
A0,GEX040645,1.0,1.59676347865762e-06,1.0
A0,GEX040647,1.0,1.59676347865762e-06,1.0
A0,GEX040710,1.0,1.59676347865762e-06,1.0
A0,GEX041095,1.0,1.59676347865762e-06,1.0
A0,GEX041622,1.0,1.59676347865762e-06,1.0
A0,GEX041754,1.0,1.59676347865762e-06,1.0
A0,GEX042468,1.0,1.59676347865762e-06,1.0
A0,GEX042631,1.0,1.59676347865762e-06,1.0
A0,GEX043271,1.0,1.59676347865762e-06,1.0
A0,GEX043309,1.0,1.59676347865762e-06,1.0
A0,GEX043421,1.0,1.59676347865762e-06,1.0
A0,GEX043852,1.0,1.59676347865762e-06,1.0
A0,GEX044089,1.0,1.59676347865762e-06,1.0
A0,GEX044611,1.0,1.59676347865762e-06,1.0
A0,GEX045019,1.0,1.59676347865762e-06,1.0
A0,GEX045370,1.0,1.59676347865762e-06,1.0
A0,GEX045376,1.0,1.59676347865762e-06,1.0
A0,GEX045680,1.0,1.59676347865762e-06,1.0
A0,GEX046282,0.9956803455723543,8.818202730102391e-07,0.9956989247311828
A0,GEX046490,1.0,1.59676347865762e-06,1.0
A0,GEX046638,1.0,1.59676347865762e-06,1.0
A0,GEX047218,1.0,1.59676347865762e-06,1.0
A0,GEX047263,1.0,1.59676347865762e-06,1.0
A0,GEX047422,1.0,1.59676347865762e-06,1.0
