group_id,source,target,edge_type,disease_ids,disease_names,pathway_ids,pathway_names,source_db,min_pval,disease_count,go_terms,go_count,overlap_count,similarity,neg_log_pval,shared_pmid_count,shared_pmids
A0,GEX048223,GEX048506,gene_overlap,,,,,,,,,,1085.0,0.6303523305500842,2.5674906507588658e-15,,
A0,GEX048844,GEX080821,gene_overlap,,,,,,,,,,1152.0,0.6830302098332238,7.182430295682507e-12,,
A0,GEX048844,GEX106696,gene_overlap,,,,,,,,,,1590.0,0.7768780312898123,3.82713910632365e-49,,
A0,GEX048859,GEX100590,gene_overlap,,,,,,,,,,1181.0,0.6938314764483356,0.0333025767223676,,
A0,GEX048963,GEX050023,gene_overlap,,,,,,,,,,1133.0,0.6533125371360665,9.097814632819841e-16,,
A0,GEX049367,GEX079901,gene_overlap,,,,,,,,,,9.0,1.0,0.0013047785547186,,
A0,GEX050289,GEX119129,gene_overlap,,,,,,,,,,1146.0,0.7209509118954722,1.7577065319308752e-18,,
A0,GEX050622,GEX058737,gene_overlap,,,,,,,,,,1025.0,0.7994966129969248,8.636909512602219e-42,,
A0,GEX051003,GEX121843,gene_overlap,,,,,,,,,,1190.0,0.6758636977816909,6.334745754326188e-15,,
A0,GEX051440,GEX098762,gene_overlap,,,,,,,,,,539.0,1.0,4.720179909840226,,
A0,GEX051675,GEX095371,gene_overlap,,,,,,,,,,755.0,0.5261585409126392,2.824558896429787,,
A0,GEX052678,GEX101296,gene_overlap,,,,,,,,,,775.0,0.5053077889447236,0.640506743996649,,
A0,GEX052752,GEX091953,gene_overlap,,,,,,,,,,1413.0,0.7212058515494515,1.1356633829064642e-36,,
A0,GEX052757,GEX076919,gene_overlap,,,,,,,,,,1037.0,0.6394289620261612,1.088961849064552e-12,,
A0,GEX052872,GEX103720,gene_overlap,,,,,,,,,,1438.0,0.8551364605576022,5.2250939985846674e-14,,
A0,GEX053040,GEX121254,gene_overlap,,,,,,,,,,1295.0,0.6905251678154799,4.525999669729398e-22,,
A0,GEX053090,GEX073138,gene_overlap,,,,,,,,,,921.0,0.5627431180899823,0.1712316542618331,,
A0,GEX053565,GEX123508,gene_overlap,,,,,,,,,,1548.0,0.7851618916536202,4.665066993462801e-65,,
A0,GEX054247,GEX117921,gene_overlap,,,,,,,,,,53.0,0.5091451831750339,0.0002272895462688,,
A0,GEX054247,GEX072532,gene_overlap,,,,,,,,,,39.0,0.4363636363636363,0.0830282746626993,,
A0,GEX054601,GEX106879,gene_overlap,,,,,,,,,,1617.0,0.7870054992924782,1.3583213207888475e-69,,
