threshold,cluster,cluster_nodes,cluster_genes,universe_genes,tested_terms,term_id,term_name,term_description,k_overlap,n_cluster_genes,m_term_genes,M_universe_genes,p_value,q_value,enrichment_ratio
080,1,6514,57280,60887,124019,GEX027898,GSE216570-3-vs-2-human up,"Up genes in hela input dataset 2 cell line (atcc ccl 2) human cervix cancer wild type sirna based knockdown ythdf1 ythdf3 rescue vs hek input dataset 2 cell line hek293t (atcc crl 3216) human embryo kidney wild type sirna based knockdown ythdf1 ythdf3 rescue (GSE216570, human)",2000,57280,2000,60887,1.0919076241156431e-54,6.102407165736019e-52,1.0629713687150837
080,2,913,44535,60887,124019,GEX003060,"GSE226525,GSE226527-0-vs-8-human dn","Dn genes comparing Group 0 vs Group 8 (GSE226527, human)",2000,44535,2000,60887,9.520969386285786e-278,2.501961311484874e-273,1.3671718872796677
080,2,913,44535,60887,124019,GEX007633,GSE243230-4-vs-2-human dn,"Dn genes in mock 24h cell line t84 human colon carcinoma wt none vs ifnl 6h cell line t84 human colon carcinoma wt 100ng/ml infl1 3 (GSE243230, human)",1999,44535,1999,60887,1.318109002302982e-277,2.501961311484874e-273,1.3671718872796679
080,2,913,44535,60887,124019,GEX026976,GSE231200-0-vs-5-human dn,"Dn genes in zikv infected human microglial cells metformin administration 48 h replicate rnaseq [met48 cell line c20 infection+metformin time vs zikv infected human microglial cells metformin administration 16 h replicate rnaseq [met16 cell line c20 infection+metformin time (GSE231200, human)",1998,44535,1998,60887,1.824814186158411e-277,2.501961311484874e-273,1.3671718872796674
080,2,913,44535,60887,124019,GEX001183,"GSE209632,GSE209820-3-vs-5-human dn","Dn genes comparing Group 3 vs Group 5 (GSE209820, human)",1997,44535,1997,60887,2.526289609828123e-277,2.501961311484874e-273,1.3671718872796677
080,2,913,44535,60887,124019,GEX012461,GSE229614-6-vs-1-human dn,"Dn genes in lnz308 72h brain cell line p53 del pten mut p16 wt p14arf azd6738 vs ln229 2h brain cell line p53 mut pten wt p16 del p14arf azd6738 (GSE229614, human)",1997,44535,1997,60887,2.526289609828123e-277,2.501961311484874e-273,1.3671718872796677
080,2,913,44535,60887,124019,GEX045654,GSE172116-3-vs-7-human up,"Up genes in ipsms rnaseq ldhd induced pluripotent stem cell derived macrophages vs mdms rnaseq hd monocyte derived macrophage (GSE172116, human)",1997,44535,1997,60887,2.526289609828123e-277,2.501961311484874e-273,1.3671718872796677
080,2,913,44535,60887,124019,GEX046816,"GSE223405,GSE223406-9-vs-7-human dn","Dn genes comparing Group 9 vs Group 7 (GSE223406, human)",1997,44535,1997,60887,2.526289609828123e-277,2.501961311484874e-273,1.3671718872796677
080,2,913,44535,60887,124019,GEX079889,"GSE122791,GSE122794-3-vs-4-human up","Up genes comparing Group 3 vs Group 4 (GSE122794, human)",1997,44535,1997,60887,2.526289609828123e-277,2.501961311484874e-273,1.3671718872796677
080,2,913,44535,60887,124019,GEX086552,GSE184536-11-vs-13-human up,"Up genes in mrnaseq mock 4h lung adenocarcinoma virus 4 h a549 ace2 cells vs mrnaseq sarscov2 2h lung adenocarcinoma virus sars cov 2 (usa wa1/2020) moi=2 h a549 ace2 cells (GSE184536, human)",1997,44535,1997,60887,2.526289609828123e-277,2.501961311484874e-273,1.3671718872796677
080,2,913,44535,60887,124019,GEX098040,GSE57896-2-vs-3-human dn,"Dn genes in bat dmso day 7 time days replicate librarybatch b lane multiplex human pluripotent stem cell derived brown adipose cells vs wat syki 24 hours time replicate librarybatch lane multiplex human pluripotent stem cell derived white adipose cells (GSE57896, human)",1997,44535,1997,60887,2.526289609828123e-277,2.501961311484874e-273,1.3671718872796677
080,3,2949,51793,60887,124019,GEX010287,"GSE240896,GSE240899-5-vs-1-human dn","Dn genes comparing Group 5 vs Group 1 (GSE240899, human)",2000,51793,2000,60887,8.475416719652939e-144,3.119916950944936e-140,1.1755835730697197
080,3,2949,51793,60887,124019,GEX015081,GSE247506-5-vs-4-human up,"Up genes in vein blood con peripheral mononuclear cell group control vs vein blood crao peripheral mononuclear cell group v (GSE247506, human)",2000,51793,2000,60887,8.475416719652939e-144,3.119916950944936e-140,1.1755835730697197
080,3,2949,51793,60887,124019,GEX021976,"GSE215187,GSE215188-0-vs-5-human up","Up genes comparing Group 0 vs Group 5 (GSE215188, human)",2000,51793,2000,60887,8.475416719652939e-144,3.119916950944936e-140,1.1755835730697197
080,3,2949,51793,60887,124019,GEX022390,"GSE246886,GSE246889-2-vs-4-human dn","Dn genes comparing Group 2 vs Group 4 (GSE246889, human)",2000,51793,2000,60887,8.475416719652939e-144,3.119916950944936e-140,1.1755835730697197
080,3,2949,51793,60887,124019,GEX026030,GSE249721-5-vs-12-human up,"Up genes in pc9 ct 24h lung adenocarcinoma cell line epithelial subcloned yes dmso vs h4006 erlo 24h 1 lung adenocarcinoma cell line hcc4006 epithelial subcloned yes erlotinib um (GSE249721, human)",2000,51793,2000,60887,8.475416719652939e-144,3.119916950944936e-140,1.1755835730697197
