threshold,cluster,term_id,representative_term_id,is_redundant,max_jaccard_to_kept,max_overlap_coeff_to_kept
090,7,GEX008185,GEX008185,0,0.2738828967642527,0.4743162108072048
090,7,GEX009382,GEX009382,0,0.1643730886850153,0.2870493991989319
090,7,GEX012671,GEX012671,0,0.07553317535545023,0.14142761841227486
090,7,GEX020062,GEX020062,0,0.0,0.0
090,7,GEX046547,GEX046547,0,0.11842105263157894,0.2161440960640427
090,7,GEX050207,GEX050207,0,0.11570853167337972,0.21080720480320214
090,7,GEX065426,GEX065426,0,0.11056105610561057,0.22348232154769845
090,7,GEX119726,GEX119726,0,0.07644927536231884,0.1482782853127196
090,8,GEX002207,GEX002207,0,0.0,0.0
090,8,GEX002905,GEX002905,0,0.045824847250509164,0.11450381679389313
090,8,GEX007446,GEX007446,0,0.06511499030202272,0.12355415352260778
090,8,GEX008185,GEX008185,0,0.09745390693590869,0.18418141592920353
090,8,GEX010663,GEX010663,0,0.07034372501998401,0.14927905004240882
090,8,GEX010818,GEX010818,0,0.11869535978480161,0.2323897300855826
090,8,GEX022070,GEX022070,0,0.38930722891566266,0.5782997762863534
090,8,GEX019540,GEX002207,1,0.8195673549655851,0.9266259032795998
090,8,GEX022971,GEX008185,1,0.7158469945355191,0.8754556500607533
090,8,GEX024301,GEX008185,1,0.7383627608346709,0.9576682859125607
090,9,GEX003292,GEX003292,0,0.029850746268656716,0.07058823529411765
090,9,GEX004136,GEX004136,0,0.016467915956842702,0.05087719298245614
090,9,GEX008018,GEX008018,0,0.03267372296364473,0.08070175438596491
090,9,GEX045245,GEX045245,0,0.026609898882384245,0.07052186177715092
090,9,GEX045938,GEX045938,0,0.07709923664122137,0.21529411764705883
090,9,GEX064552,GEX064552,0,0.0,0.0
090,9,GEX089611,GEX045245,1,0.995774647887324,0.998587570621469
090,9,GEX091917,GEX008018,1,1.0,1.0
090,9,GEX095579,GEX045938,1,1.0,1.0
090,9,GEX097125,GEX003292,1,1.0,1.0
